,Coord_centroid,Label
0,"(46.78967741935484, 3885.617634408602)",2
1,"(110.43186090225564, 4207.611959586467)",2
2,"(108.60122554796135, 5085.851520150836)",1
3,"(106.06461159062886, 2648.256473489519)",1
4,"(141.60168302945303, 3081.521505376344)",1
5,"(147.18151931431254, 4776.103440178466)",1
6,"(171.21253371002953, 6449.21317580583)",1
7,"(156.23530130790857, 1424.9579513506906)",1
8,"(155.6684085510689, 2204.6389548693587)",1
9,"(197.9214533235325, 1847.108369211383)",1
10,"(181.91511493514832, 6013.707075895723)",1
11,"(198.49637721547208, 564.8131757886523)",1
12,"(198.22746097483275, 986.6914622491239)",1
13,"(212.317132583227, 3468.2667903955457)",1
14,"(246.79083094555875, 5577.777750093434)",1
15,"(376.38188256796894, 3897.949508795979)",2
16,"(512.5287501313992, 876.9369284137496)",1
17,"(530.811120917917, 5660.560206783508)",1
18,"(545.1896918767507, 1382.582969187675)",1
19,"(558.6044975404076, 1747.9936753338018)",1
20,"(564.8102325581395, 2244.7890439276484)",1
21,"(566.4450254381006, 5145.458451102318)",1
22,"(576.6708923076923, 4225.323323076923)",1
23,"(602.059687200766, 3418.8544526013407)",1
24,"(604.1201405666593, 2597.7403909510213)",1
25,"(616.9025163666121, 3081.728723404255)",1
26,"(610.3587265491757, 544.1438317225696)",1
27,"(636.5824520627542, 6022.347704822778)",1
28,"(631.6965859030837, 6402.747907488987)",1
29,"(660.9407423971378, 4790.613819320215)",1
30,"(952.6800663075011, 4641.8270479347975)",1
31,"(965.0515833856643, 2547.122723602763)",2
32,"(957.6946128731344, 6497.896805037313)",1
33,"(939.9124264451367, 3470.3336794738666)",1
34,"(974.7867030201343, 3859.744546979866)",1
35,"(981.984207329419, 949.4421947762705)",1
36,"(1015.8934153641503, 2239.0670103092784)",1
37,"(1000.364641454846, 5491.640421574705)",1
38,"(1041.551097972973, 1834.8517736486488)",1
39,"(1030.4731536502547, 5079.110568760611)",1
40,"(1024.4699223803364, 3021.884432945235)",1
41,"(1032.3696110943624, 5942.3714199577935)",1
42,"(1040.216674407803, 1395.0090571295866)",1
43,"(1039.0513682745825, 606.9051484230056)",1
44,"(1070.3917132689376, 4248.354473817997)",1
45,"(1368.8100211218025, 3909.496479699601)",1
46,"(1360.2251691770355, 2298.4657280069855)",1
47,"(1368.8688676855527, 6407.472430971882)",1
48,"(1405.0965758607642, 5003.176787741203)",1
49,"(1400.1320280026252, 1413.5971341063225)",1
50,"(1401.936833317874, 4645.99267229385)",1
51,"(1428.0412192902638, 574.9019108280255)",1
52,"(1386.963759458383, 6150.899243329351)",2
53,"(1416.438149328162, 1825.6453802465714)",2
54,"(1456.4394093216429, 5459.778311029072)",1
55,"(1464.2411954115516, 3124.990641980278)",2
56,"(1438.9910830391975, 4259.794909901542)",1
57,"(1469.3630600169063, 1049.6219357565512)",1
58,"(1457.290519443656, 3556.1727221118367)",1
59,"(1486.593059490085, 2651.015722379603)",2
60,"(1799.3679593721145, 6480.747807017544)",1
61,"(1833.469354684968, 2209.8833285673436)",1
62,"(1849.8640754631208, 4687.746448460052)",1
63,"(1872.891111707841, 441.8075993555317)",1
64,"(1894.05655708731, 1737.2017202780723)",1
65,"(1884.7626418988648, 919.7331564204629)",1
66,"(1872.2952329941081, 1348.0226031065881)",1
67,"(1898.4736125654451, 6068.367748691099)",2
68,"(1909.2643101761253, 3520.502813111546)",1
69,"(1924.268500197863, 5363.1101108033245)",1
70,"(1930.0796513375412, 3003.699929866747)",1
71,"(1935.676910384655, 3869.1876869134785)",1
72,"(1947.5855691981203, 4995.071396089132)",1
73,"(1950.8245189072802, 4330.72507064998)",1
74,"(1958.029005877843, 2628.0242780475337)",1
