Coord_centroid,Bbox,Label
"(56.925615638486924, 1360.422315308454)","[0, 2621, 120, 2703]",0
"(42.125739644970416, 4348.258875739645)","[0, 5585, 91, 5714]",0
"(27.43800596506178, 6006.5494958102545)","[0, 7238, 60, 7376]",0
"(32.098496530454895, 6458.435620663068)","[0, 7704, 75, 7803]",0
"(63.51184952978056, 2648.105579937304)","[4, 3905, 122, 3995]",0
"(58.9705325443787, 5173.881656804734)","[8, 6413, 108, 6537]",0
"(69.09020418712846, 5554.6899715688805)","[27, 6791, 112, 6921]",0
"(97.60466217015738, 4807.656963672938)","[31, 6066, 164, 6151]",0
"(90.20129325829242, 574.4997006346546)","[34, 1813, 143, 1938]",0
"(78.93858541206188, 2227.1847173981687)","[43, 3468, 115, 3586]",0
"(101.48773209549071, 1799.461427939876)","[49, 3036, 157, 3165]",0
"(105.65466135458168, 963.5085258964143)","[66, 2205, 146, 2324]",0
"(146.7589119364054, 3061.144578313253)","[103, 4294, 191, 4428]",0
"(145.6546482856133, 3471.562389536939)","[107, 4703, 188, 4841]",0
"(147.8500781583061, 3810.200653687651)","[112, 5046, 185, 5175]",0
"(392.21331802525833, 6506.0195177956375)","[353, 7737, 433, 7875]",2
"(419.69555112881807, 3270.0561088977424)","[369, 4528, 473, 4614]",0
"(416.35632504886905, 5121.790142418319)","[378, 6362, 458, 6483]",0
"(477.9655130833233, 5950.846858796575)","[405, 7212, 546, 7296]",0
"(468.21287379624937, 5634.849974657882)","[410, 6885, 526, 6984]",0
"(481.23946620536265, 1398.4302483627825)","[420, 2653, 545, 2745]",0
"(482.8462533819551, 4747.404423009058)","[420, 6003, 547, 6090]",0
"(456.89309932189866, 595.460577050924)","[422, 1826, 492, 1964]",0
"(509.08693609022555, 2874.2065319548874)","[436, 4134, 581, 4212]",0
"(494.375029280862, 2616.1526118528927)","[437, 3859, 549, 3974]",0
"(501.1671535215839, 2231.6554149085796)","[440, 3478, 564, 3590]",0
"(509.3400395778364, 3758.1845866314866)","[451, 5000, 568, 5118]",0
"(522.919259882254, 1793.9313148303897)","[464, 3049, 582, 3140]",0
"(556.7050065876152, 4303.859815546772)","[508, 5540, 607, 5664]",0
"(557.0863727666772, 1022.0758008246115)","[511, 2255, 608, 2391]",0
"(777.1579684763573, 6470.294337419731)","[710, 7729, 850, 7815]",0
"(789.0518808558244, 4806.358551251573)","[730, 6060, 852, 6156]",2
"(836.5952261934516, 5638.865283679081)","[767, 6903, 906, 6975]",0
"(826.6960621186911, 3074.673211314476)","[779, 4307, 878, 4446]",0
"(863.3644949575796, 5062.376340643509)","[829, 6298, 899, 6429]",0
"(899.3455338746819, 5969.027027027027)","[831, 7225, 974, 7308]",0
