Coord_centroid,Bbox,Label
"(31.878075753386785, 1728.5843240254355)","[0, 2963, 70, 3090]",0
"(23.49442655437206, 5309.213029477334)","[0, 6558, 56, 6651]",2
"(8.352508361204013, 5625.977257525084)","[0, 6871, 21, 6968]",2
"(7.636268343815513, 6462.378406708595)","[0, 7700, 20, 7829]",2
"(41.89139369784531, 4376.529082077469)","[6, 5606, 79, 5747]",0
"(65.14338873728603, 3883.045150086827)","[10, 5128, 118, 5240]",0
"(75.5793875623904, 3534.407527316876)","[23, 4787, 131, 4884]",0
"(77.71321788962253, 1435.7560732527718)","[28, 2677, 129, 2799]",0
"(105.1992859032002, 3133.4025390108436)","[39, 4394, 170, 4476]",0
"(93.05682301261159, 2671.1482216239197)","[47, 3919, 142, 4029]",0
"(98.96330022075055, 2328.915976821192)","[65, 3558, 134, 3698]",0
"(107.88013229927007, 663.5228102189781)","[69, 1893, 148, 2038]",0
"(145.01982220086498, 943.25)","[93, 2185, 200, 2300]",0
"(300.8435653315824, 6390.130006565988)","[242, 7654, 359, 7725]",0
"(305.843874391862, 6093.931446262715)","[270, 7331, 342, 7457]",0
"(335.75711481844945, 5696.124877330716)","[271, 6954, 401, 7037]",0
"(347.253684680661, 3542.8195623046004)","[298, 4789, 401, 4896]",0
"(379.2502606882169, 5221.6430805899)","[325, 6476, 437, 6567]",0
"(405.0051241175131, 4711.708950125256)","[339, 5970, 469, 6056]",0
"(426.0823859836833, 526.8691988765547)","[369, 1774, 481, 1881]",0
"(452.34463684463685, 4043.634199134199)","[394, 5294, 511, 5393]",0
"(475.72961217832545, 3134.2242358342396)","[412, 4395, 542, 4476]",0
"(472.5012970969734, 995.7108091414453)","[420, 2241, 531, 2349]",0
"(470.9815587562256, 4305.760398438551)","[424, 5549, 521, 5668]",0
"(496.0315486470927, 2241.3662636729996)","[432, 3498, 563, 3586]",0
"(472.5302238305857, 1411.018228119555)","[433, 2648, 514, 2774]",0
"(504.3511062749365, 2693.2911377100713)","[446, 3943, 565, 4046]",0
"(541.4004652301666, 1763.3443927522037)","[478, 3020, 605, 3107]",0
"(665.0929723817337, 5584.372026251025)","[603, 6839, 725, 6928]",0
"(759.9266684607104, 6532.739101184069)","[710, 7780, 814, 7888]",0
"(790.1538367844092, 5119.103288672351)","[734, 6363, 849, 6476]",0
"(811.8062548663379, 6057.407215157021)","[745, 7319, 876, 7395]",0
"(821.7499675282504, 3952.7845174698014)","[762, 5207, 882, 5300]",0
"(827.9878048780488, 4722.480792682927)","[771, 5974, 880, 6073]",2
"(884.2298039215686, 3575.3823529411766)","[824, 4830, 946, 4922]",0
"(865.7557233891905, 3101.692471088034)","[825, 4333, 906, 4472]",0
"(889.2102154653834, 1498.9162200590615)","[833, 2739, 951, 2859]",0
"(881.7942957083277, 4352.253598816091)","[846, 5588, 919, 5719]",0
"(931.348934448341, 1074.6834367413003)","[885, 2317, 977, 2434]",0
"(962.1105656848995, 2746.230832164563)","[894, 4004, 1033, 4090]",0
"(955.9214452214452, 1985.7268065268065)","[903, 3224, 1006, 3349]",0
"(962.0404977375565, 660.5547511312217)","[914, 1895, 1010, 2027]",0
"(962.1631528509822, 2247.1805222807857)","[919, 3482, 1005, 3612]",1
"(1147.1370539572786, 6564.779355475985)","[1086, 7816, 1209, 7913]",0
