Coord_centroid,Bbox,Face,Name_hdr,Species
"(1866.5583214793742, 1802.3619183092867)","[1813, 3036, 1920, 3170]",0,var7_x82y19_8000_us_2x_2022-04-26T083429_corr_grain74.hdr,7
"(400.8516015677794, 3865.5361535342613)","[337, 5125, 467, 5205]",1,var6_2020_x80y20_8000_us_2x_2022-04-27T081116_corr_grain17.hdr,6
"(232.7871633645747, 1415.6469332067861)","[198, 2636, 267, 2793]",0,var5_x72y18_8000_us_2x_2022-04-26T090114_corr_grain13.hdr,5
"(1921.4852955738193, 3912.047430438657)","[1855, 5154, 1996, 5270]",1,var5_x72y18_8000_us_2x_2022-04-26T091027_corr_grain65.hdr,5
"(138.7732212160414, 1033.751746442432)","[71, 2296, 207, 2372]",0,var5_x72y18_8000_us_2x_2022-04-26T090114_corr_grain4.hdr,5
"(1030.0606288362771, 1798.721032193411)","[962, 3052, 1099, 3144]",1,var5_x72y18_8000_us_2x_2022-04-26T091027_corr_grain34.hdr,5
"(452.84208759859035, 6433.955361637859)","[410, 7686, 499, 7783]",1,var7_x82y19_8000_us_2x_2022-04-26T084832_corr_grain17.hdr,7
"(970.1289582377237, 3538.1763423588804)","[932, 4764, 1013, 4911]",0,var4_2020_x82y12_8000_us_2x_2022-04-27T092007_corr_grain41.hdr,4
"(1498.725688589095, 6376.403972269065)","[1422, 7627, 1576, 7728]",1,var5_x72y18_8000_us_2x_2022-04-26T091027_corr_grain48.hdr,5
"(1469.5052009456265, 3427.8236406619385)","[1422, 4656, 1515, 4799]",1,var5_x72y18_8000_us_2x_2022-04-26T091027_corr_grain47.hdr,5
"(1883.5578138554963, 3525.20522989218)","[1844, 4757, 1927, 4891]",1,var8_2020_x74y17_8000_us_2x_2022-04-27T083229_corr_grain67.hdr,8
"(1462.6933671620152, 2952.1006403286215)","[1420, 4188, 1504, 4320]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T110106_corr_grain54.hdr,2
"(198.49637721547208, 564.8131757886523)","[156, 1789, 244, 1941]",1,var4_2020_x82y12_8000_us_2x_2022-04-27T093216_corr_grain11.hdr,4
"(1277.045398520953, 2994.7103533278555)","[1234, 4223, 1322, 4367]",0,var3_2020_x77y15_8000_us_2x_2022-04-27T084904_corr_grain53.hdr,3
"(462.03895671476135, 3435.7958934517205)","[415, 4667, 510, 4805]",1,var7_x82y19_8000_us_2x_2022-04-26T084832_corr_grain18.hdr,7
"(159.07200697645447, 3473.285536314937)","[123, 4699, 197, 4844]",1,var8_2020_x74y17_8000_us_2x_2022-04-27T083229_corr_grain8.hdr,8
"(1464.2411954115516, 3124.990641980278)","[1386, 4382, 1545, 4464]",2,var4_2020_x82y12_8000_us_2x_2022-04-27T093216_corr_grain55.hdr,4
"(1327.437441752097, 5160.838886300093)","[1274, 6389, 1381, 6532]",0,var1_2020_x75y20_8000_us_2x_2022-04-26T130045_corr_grain48.hdr,1
"(441.0653454740225, 824.5016961256919)","[398, 2073, 489, 2175]",1,var6_2020_x80y20_8000_us_2x_2022-04-27T081116_corr_grain22.hdr,6
"(2030.9265146970606, 3297.6679664067187)","[2008, 4535, 2048, 4651]",2,var2_2020_x73y16_8000_us_2x_2022-04-26T110106_corr_grain74.hdr,2
"(558.6044975404076, 1747.9936753338018)","[508, 2994, 610, 3105]",1,var4_2020_x82y12_8000_us_2x_2022-04-27T093216_corr_grain19.hdr,4
"(105.65466135458168, 963.5085258964143)","[66, 2205, 146, 2324]",0,var4_2020_x82y12_8000_us_2x_2022-04-27T092007_corr_grain11.hdr,4
"(789.0518808558244, 4806.358551251573)","[730, 6060, 852, 6156]",2,var4_2020_x82y12_8000_us_2x_2022-04-27T092007_corr_grain31.hdr,4
"(1367.8391635724056, 4332.1943521594685)","[1301, 5572, 1431, 5693]",1,var7_x82y19_8000_us_2x_2022-04-26T084832_corr_grain48.hdr,7
"(1381.2235919475231, 3544.1066500791676)","[1334, 4773, 1426, 4927]",0,var1_2020_x75y20_8000_us_2x_2022-04-26T122543_corr_grain47.hdr,1
"(1011.6487981280578, 1319.5335035098915)","[942, 2574, 1081, 2665]",1,var2_2020_x73y16_8000_us_2x_2022-04-26T110106_corr_grain34.hdr,2
"(1354.2901886792454, 6007.005283018868)","[1302, 7247, 1406, 7364]",0,var8_2020_x74y17_8000_us_2x_2022-04-27T082434_corr_grain46.hdr,8
"(1460.2658514939355, 3422.9699240706045)","[1409, 4655, 1517, 4788]",1,var8_2020_x74y17_8000_us_2x_2022-04-27T083229_corr_grain52.hdr,8
"(1935.676910384655, 3869.1876869134785)","[1889, 5102, 1982, 5239]",1,var4_2020_x82y12_8000_us_2x_2022-04-27T093216_corr_grain71.hdr,4
"(2002.7214188267394, 2965.437517053206)","[1949, 4221, 2048, 4320]",1,var3_2020_x77y15_8000_us_2x_2022-04-27T085658_corr_grain74.hdr,3
"(922.291569476841, 6490.648450516494)","[850, 7749, 1001, 7836]",1,var7_x82y19_8000_us_2x_2022-04-26T084832_corr_grain32.hdr,7
"(138.0424506297621, 914.9272274918364)","[100, 2150, 179, 2281]",2,var1_2020_x75y20_8000_us_2x_2022-04-26T130045_corr_grain12.hdr,1
"(1908.2188923519539, 5013.239151282666)","[1869, 6248, 1950, 6384]",1,var8_2020_x74y17_8000_us_2x_2022-04-27T083229_corr_grain69.hdr,8
"(1388.4317214700193, 1835.0533849129595)","[1323, 3075, 1456, 3194]",1,var7_x82y19_8000_us_2x_2022-04-26T084832_corr_grain51.hdr,7
"(495.42531078051763, 5138.036274709599)","[444, 6368, 547, 6513]",1,var7_x82y19_8000_us_2x_2022-04-26T084832_corr_grain20.hdr,7
"(199.6397282058696, 3141.8886800636114)","[164, 4372, 235, 4515]",1,var3_2020_x77y15_8000_us_2x_2022-04-27T085658_corr_grain12.hdr,3
"(1933.0038321517532, 3004.42671009772)","[1861, 4250, 2006, 4356]",1,var4_2020_x82y12_8000_us_2x_2022-04-27T093216_corr_grain70.hdr,4
"(109.46504599211563, 4745.534034165572)","[73, 5980, 148, 6116]",0,var8_2020_x74y17_8000_us_2x_2022-04-27T082434_corr_grain7.hdr,8
"(1903.2058758068106, 4699.099488092588)","[1863, 5924, 1947, 6074]",1,var5_x72y18_8000_us_2x_2022-04-26T091027_corr_grain68.hdr,5
"(193.17683250238676, 511.7583536650048)","[144, 1739, 244, 1885]",0,var1_2020_x75y20_8000_us_2x_2022-04-26T122543_corr_grain10.hdr,1
"(114.82551982435749, 586.9617719230273)","[73, 1821, 158, 1954]",0,var3_2020_x77y15_8000_us_2x_2022-04-27T084904_corr_grain11.hdr,3
"(1306.928393383186, 1799.910038522547)","[1231, 3056, 1382, 3144]",0,var3_2020_x77y15_8000_us_2x_2022-04-27T084904_corr_grain51.hdr,3
"(190.2684085510689, 5951.977378124647)","[135, 7194, 243, 7315]",1,var5_x72y18_8000_us_2x_2022-04-26T091027_corr_grain3.hdr,5
"(936.6780229707059, 2248.5900116144016)","[876, 3488, 994, 3602]",1,var6_2020_x80y20_8000_us_2x_2022-04-27T081116_corr_grain37.hdr,6
"(456.89309932189866, 595.460577050924)","[422, 1826, 492, 1964]",0,var4_2020_x82y12_8000_us_2x_2022-04-27T092007_corr_grain22.hdr,4
"(601.1561615933009, 2689.8800497906527)","[559, 3922, 647, 4058]",1,var8_2020_x74y17_8000_us_2x_2022-04-27T083229_corr_grain28.hdr,8
"(69.79162276080085, 1350.980110642782)","[7, 2611, 132, 2692]",0,var3_2020_x77y15_8000_us_2x_2022-04-27T084904_corr_grain7.hdr,3
"(1041.4110346522486, 1337.5013516834604)","[968, 2598, 1111, 2675]",0,var8_2020_x74y17_8000_us_2x_2022-04-27T082434_corr_grain42.hdr,8
